Id,Type,Name,Parent,Predecessors
6,job,job6,
5,job,job5,,6
4,group,group4,,5
3,job,job3,,4
2,job,job2,,3
16,job,job16,
15,job,job15,,16
14,job,job14,,15
13,job,job13,,14
12,job,job12,,13
20,job,job20,11
19,job,job19,11,20
18,job,job18,11,19
17,job,job17,11,18
22,job,job22,11
21,job,job21,11,22
11,group,group11,,12
10,job,job10,,11
32,job,job32,9
31,job,job31,9,32
30,job,job30,9,31
29,job,job29,9,30
28,job,job28,9,29
27,job,job27,9,28
26,job,job26,9,27
25,job,job25,9,26
24,job,job24,9,25
23,job,job23,9,24
9,group,group9,,10
8,job,job8,,9
7,job,job7,,8
1,job,job1,,2,7
34,job,job34,
33,job,job33,,34
48,job,job48,
47,job,job47,,48
46,job,job46,,47
45,job,job45,,46
44,job,job44,,45
43,job,job43,,44
42,job,job42,,43
41,job,job41,,42
40,job,job40,,41
39,job,job39,,40
38,job,job38,,39
37,job,job37,,38
49,job,job49,36
56,job,job56,36
55,job,job55,36,56
54,job,job54,36,55
57,job,job57,53
61,job,job61,53
60,job,job60,53,61
59,job,job59,53,60
58,job,job58,53,59
53,group,group53,36,54
52,job,job52,36,53
51,job,job51,36,52
50,job,job50,36,51
36,group,group36,,37
35,job,job35,,36
64,job,job64,
63,job,job63,,64
62,job,job62,,63
67,job,job67,
66,job,job66,,67
65,job,job65,,66
70,job,job70,
69,job,job69,,70
68,job,job68,,69
75,job,job75,
83,job,job83,74
82,job,job82,74,83
81,job,job81,74,82
89,job,job89,74
88,job,job88,74,89
87,job,job87,74,88
86,job,job86,74,87
85,job,job85,74,86
84,job,job84,74,85
80,job,job80,74,81,84
79,job,job79,74,80
78,job,job78,74,79
77,job,job77,74,78
76,job,job76,74,77
92,job,job92,74
91,job,job91,74,92
90,job,job90,74,91
97,job,job97,74
101,job,job101,74
100,job,job100,74,101
99,job,job99,74,100
98,job,job98,74,99
96,job,job96,74,97,98
95,job,job95,74,96
94,job,job94,74,95
93,job,job93,74,94
74,group,group74,,75
73,job,job73,,74
72,job,job72,,73
71,job,job71,,72
107,job,job107,
106,job,job106,,107
105,job,job105,,106
109,job,job109,
108,job,job108,,109
104,job,job104,,105,108
103,job,job103,,104
112,job,job112,
111,job,job111,,112
110,job,job110,,111
102,job,job102,,103,110
117,job,job117,
116,job,job116,,117
115,job,job115,,116
114,job,job114,,115
113,job,job113,,114
119,job,job119,
118,job,job118,,119
