Parsing complete
  #   lines: 124613
  #    jobs: 124612
  # targets: 5000
  # dummies: 0

   group100009:      44
   group100016:     232
   group100185:      23
   group100201:      52
   group100215:     360
   group100310:     118
   group100684:      75
   group100974:     999
   group101275:      17
   group101347:     484
   group101557:     218
   group101669:     488
   group101778:      43
   group101849:       2
     group1019:     132
   group101904:     703
   group102009:      15
    group10207:     116
   group102306:     571
   group102451:      96
   group102475:     416
   group102639:     335
   group102676:    1823
   group102999:     786
   group103124:     342
   group103311:     110
   group103441:     442
   group103595:      32
   group103596:      39
    group10361:      88
   group103611:     968
   group103836:     328
   group104112:     146
   group104179:     150
   group104193:       3
   group104194:     128
   group104317:      10
   group104345:     196
   group104497:      37
   group104710:     127
   group104916:     340
   group105106:       4
   group105412:     695
   group105464:    1236
   group105732:      25
   group105751:    1645
   group105925:      38
   group105997:      24
   group106016:     752
   group106120:     261
   group106236:      78
   group106264:     828
    group10634:     165
   group106431:     106
   group106456:      35
   group106461:    1156
   group106684:     230
    group10675:     411
   group106762:      18
   group106766:    1140
   group106888:     397
   group106939:      11
   group107330:       2
   group107337:       4
   group107339:     192
   group107390:      47
   group107448:      17
   group107565:       1
   group107626:      16
   group107695:     954
   group107757:     266
   group107798:     323
   group107842:      33
   group107903:      21
   group107914:       8
   group108030:       9
   group108107:     477
   group108409:      39
   group108497:      61
   group108507:     388
   group108855:      61
   group108894:    1624
   group109090:     252
   group109140:     338
   group109174:      22
     group1093:      96
   group109320:     327
   group109410:     131
   group109417:     371
   group109573:     669
    group11015:      68
   group110167:       4
   group110203:     338
   group110260:      41
   group110271:       3
   group110274:     690
   group110444:      50
   group110479:       6
   group110700:     110
   group110758:     196
   group110947:       5
   group110993:      24
   group111013:      23
   group111028:     890
     group1111:      61
   group111200:     491
   group111256:     419
   group111436:     138
   group111600:     344
   group111663:       3
   group111666:     261
   group111786:      10
   group111791:      54
   group111919:     254
   group112026:     118
   group112061:     226
   group112122:     366
   group112184:     443
   group112245:     260
   group112383:      78
   group112396:      79
   group112498:     153
   group112623:     217
   group112900:     168
   group112954:      30
   group112973:    1238
   group113042:     259
   group113092:      46
   group113197:     106
   group113201:     728
   group113344:      50
   group113379:       6
   group113386:     479
   group113440:       7
   group113722:     205
   group113818:     142
   group113845:      24
   group113861:      17
   group113865:      12
   group113878:    1072
   group113976:       3
   group114052:      10
   group114208:     541
   group114236:      13
   group114241:       3
   group114461:       9
   group114659:     200
   group114668:    1146
   group114916:     300
   group114996:     583
   group115191:     269
   group115203:     118
   group115230:     125
   group115392:     271
   group115421:     207
   group115525:      50
