Parsing complete
  #   lines: 124613
  #    jobs: 124612
  # targets: 5000
  # dummies: 0

   group100009:      44
   group100016:     232
   group100185:      23
   group100201:      52
   group100215:     360
   group100310:     118
   group100684:      75
   group100974:    1031
   group101275:      17
   group101347:     484
   group101557:     218
   group101669:     491
   group101778:      43
   group101849:       2
     group1019:     168
   group101904:     738
   group102009:      15
    group10207:     116
   group102306:     627
   group102451:      96
   group102475:     419
   group102639:     335
   group102676:    1850
   group102999:     788
   group103124:     366
   group103311:     110
   group103441:     444
   group103595:      32
   group103596:      39
    group10361:     102
   group103611:     970
   group103836:     328
   group104112:     146
   group104179:     153
   group104193:       3
   group104194:     128
   group104317:      10
   group104345:     196
   group104497:      37
   group104710:     127
   group104916:     340
   group105106:       4
   group105412:     695
   group105464:    1303
   group105732:      25
   group105751:    1669
   group105925:      38
   group105997:      24
   group106016:     783
   group106120:     264
   group106236:      78
   group106264:     830
    group10634:     168
   group106431:     106
   group106456:      35
   group106461:    1161
   group106684:     230
    group10675:     414
   group106762:      18
   group106766:    1216
   group106888:     400
   group106939:      11
   group107330:       2
   group107337:       4
   group107339:     192
   group107390:      47
   group107448:      17
   group107565:       1
   group107626:      16
   group107695:     961
   group107757:     266
   group107798:     323
   group107842:      33
   group107903:      21
   group107914:       8
   group108030:       9
   group108107:     481
   group108409:      39
   group108497:      61
   group108507:     390
   group108855:      61
   group108894:    1722
   group109090:     266
   group109140:     362
   group109174:      22
     group1093:      99
   group109320:     330
   group109410:     134
   group109417:     371
   group109573:     725
    group11015:      68
   group110167:       4
   group110203:     338
   group110260:      41
   group110271:       3
   group110274:     692
   group110444:      50
   group110479:       6
   group110700:     110
   group110758:     196
   group110947:       5
   group110993:      24
   group111013:      23
   group111028:     904
     group1111:      64
   group111200:     528
   group111256:     419
   group111436:     138
   group111600:     347
   group111663:       3
   group111666:     261
   group111786:      10
   group111791:      54
   group111919:     254
   group112026:     118
   group112061:     229
   group112122:     366
   group112184:     443
   group112245:     263
   group112383:      78
   group112396:      82
   group112498:     153
   group112623:     220
   group112900:     168
   group112954:      30
   group112973:    1265
   group113042:     259
   group113092:      46
   group113197:     106
   group113201:     753
   group113344:      50
   group113379:       6
   group113386:     482
   group113440:       7
   group113722:     205
   group113818:     142
   group113845:      24
   group113861:      17
   group113865:      12
   group113878:    1078
   group113976:       3
   group114052:      10
   group114208:     543
   group114236:      13
   group114241:       3
   group114461:       9
   group114659:     200
   group114668:    1152
   group114916:     300
   group114996:     604
   group115191:     269
   group115203:     118
   group115230:     125
   group115392:     271
   group115421:     207
   group115525:      50
